Year,State,StateName,County,FIPS,Diabetes,HighBP,Obesity,NeedScore
2023,FL,Florida,Dixie,12029,16.1,43.3,34.7,31.366666666666664
2023,FL,Florida,Duval,12031,12.8,35.4,34.3,27.5
2023,FL,Florida,Flagler,12035,13.7,39.2,30.6,27.833333333333332
2023,FL,Florida,Gadsden,12039,19.2,44.6,44.6,36.13333333333333
2023,FL,Florida,Gilchrist,12041,12.8,36.3,34.5,27.866666666666664
2023,FL,Florida,Glades,12043,17.7,44.0,37.1,32.93333333333333
2023,FL,Florida,Gulf,12045,14.1,40.5,35.3,29.96666666666667
2023,FL,Florida,Hamilton,12047,17.6,44.3,41.5,34.46666666666667
2023,FL,Florida,Hardee,12049,15.6,36.9,39.9,30.8
2023,FL,Florida,Hendry,12051,16.8,37.2,37.6,30.533333333333335
2023,FL,Florida,Hernando,12053,14.9,38.5,36.1,29.833333333333332
2023,FL,Florida,Highlands,12055,18.3,46.1,36.7,33.699999999999996
